timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
2017/03/13 15:14:08,13368,Go to demo.hub3c.com A,200,OK,userGroup 1-138,text,true,,5073,183,999,999,https://demo.hub3c.com/,13368,1,0,0,579
2017/03/13 15:14:08,13377,Go to demo.hub3c.com A,200,OK,userGroup 1-128,text,true,,5073,183,999,999,https://demo.hub3c.com/,13377,1,0,0,582
2017/03/13 15:14:08,14368,Go to demo.hub3c.com A,200,OK,userGroup 1-123,text,true,,5073,183,999,999,https://demo.hub3c.com/,14368,1,0,0,584
2017/03/13 15:14:08,15365,Go to demo.hub3c.com A,200,OK,userGroup 1-136,text,true,,5073,183,999,999,https://demo.hub3c.com/,15365,1,0,0,613
2017/03/13 15:14:08,16331,Go to demo.hub3c.com A,200,OK,userGroup 1-132,text,true,,5073,183,999,999,https://demo.hub3c.com/,16330,1,0,0,610
2017/03/13 15:14:08,16337,Go to demo.hub3c.com A,200,OK,userGroup 1-125,text,true,,5073,183,999,999,https://demo.hub3c.com/,16337,1,0,0,613
2017/03/13 15:14:08,16355,Go to demo.hub3c.com A,200,OK,userGroup 1-126,text,true,,5073,183,999,999,https://demo.hub3c.com/,16355,1,0,0,632
2017/03/13 15:14:08,16263,Go to demo.hub3c.com A,200,OK,userGroup 1-153,text,true,,5073,183,999,999,https://demo.hub3c.com/,16263,1,0,0,580
2017/03/13 15:14:08,16333,Go to demo.hub3c.com A,200,OK,userGroup 1-147,text,true,,5073,183,999,999,https://demo.hub3c.com/,16333,1,0,0,656
2017/03/13 15:14:08,16334,Go to demo.hub3c.com A,200,OK,userGroup 1-148,text,true,,5073,183,999,999,https://demo.hub3c.com/,16334,1,0,0,655
2017/03/13 15:14:08,16243,Go to demo.hub3c.com A,200,OK,userGroup 1-151,text,true,,5073,183,999,999,https://demo.hub3c.com/,16243,1,0,0,568
2017/03/13 15:14:08,16365,Go to demo.hub3c.com A,200,OK,userGroup 1-145,text,true,,5073,183,999,999,https://demo.hub3c.com/,16365,1,0,0,684
2017/03/13 15:14:08,16273,Go to demo.hub3c.com A,200,OK,userGroup 1-154,text,true,,5073,183,999,999,https://demo.hub3c.com/,16273,1,0,0,594
2017/03/13 15:14:08,16189,Go to demo.hub3c.com A,200,OK,userGroup 1-163,text,true,,5073,183,999,999,https://demo.hub3c.com/,16189,1,0,0,548
2017/03/13 15:14:08,16190,Go to demo.hub3c.com A,200,OK,userGroup 1-160,text,true,,5073,183,999,999,https://demo.hub3c.com/,16190,1,0,0,569
2017/03/13 15:14:08,16163,Go to demo.hub3c.com A,200,OK,userGroup 1-168,text,true,,5073,183,999,999,https://demo.hub3c.com/,16163,1,0,0,594
2017/03/13 15:14:08,16174,Go to demo.hub3c.com A,200,OK,userGroup 1-167,text,true,,5073,183,999,999,https://demo.hub3c.com/,16174,1,0,0,607
2017/03/13 15:14:08,16170,Go to demo.hub3c.com A,200,OK,userGroup 1-166,text,true,,5073,183,999,999,https://demo.hub3c.com/,16170,1,0,0,618
2017/03/13 15:14:08,16792,Go to demo.hub3c.com A,200,OK,userGroup 1-19,text,true,,5073,183,999,999,https://demo.hub3c.com/,16792,1,0,0,953
2017/03/13 15:14:08,16862,Go to demo.hub3c.com A,200,OK,userGroup 1-6,text,true,,5073,183,999,999,https://demo.hub3c.com/,16861,1,0,0,1096
2017/03/13 15:14:08,16748,Go to demo.hub3c.com A,200,OK,userGroup 1-63,text,true,,5073,183,999,999,https://demo.hub3c.com/,16748,1,0,0,1069
2017/03/13 15:14:08,16631,Go to demo.hub3c.com A,200,OK,userGroup 1-124,text,true,,5073,183,999,999,https://demo.hub3c.com/,16631,1,0,0,968
2017/03/13 15:14:08,16730,Go to demo.hub3c.com A,200,OK,userGroup 1-139,text,true,,5073,183,999,999,https://demo.hub3c.com/,16729,1,0,0,885
2017/03/13 15:14:08,16786,Go to demo.hub3c.com A,200,OK,userGroup 1-121,text,true,,5073,183,999,999,https://demo.hub3c.com/,16786,1,0,0,903
2017/03/13 15:14:08,16720,Go to demo.hub3c.com A,200,OK,userGroup 1-150,text,true,,5073,183,999,999,https://demo.hub3c.com/,16720,1,0,0,656
2017/03/13 15:14:08,17051,Go to demo.hub3c.com A,200,OK,userGroup 1-86,text,true,,5073,183,999,999,https://demo.hub3c.com/,17051,1,0,0,957
